Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"Dodecanoly-phosphate (n-C12:0)","C12H23O5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H25O5P/c1-2-3-4-5-6-7-8-9-10-11-12(13)17-18(14,15)16/h2-11H2,1H3,(H2,14,15,16)/p-2",,,,,,,,,,
"Fe(III)dicitrate","C12H28FeO14",0.00000,"[M+H]+","[M-H]-","InChI=1S/2C6H14O7.Fe/c2*7-3(8)1-6(13,5(11)12)2-4(9)10;/h2*3-5,7-13H,1-2H2;",,,,,,,,,,
"Glutathione disulfide","C20H32N6O12S2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)",,,,,,,,,,
"Glycerol 2-phosphate","C3H9O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H9O6P/c4-1-3(2-5)9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)",,,,,,,,,,
"Glycerophosphoglycerol","C6H14O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H15O8P/c7-1-5(9)3-13-15(11,12)14-4-6(10)2-8/h5-10H,1-4H2,(H,11,12)/p-1",,,,,,,,,,
"Hydrogen ion","H",0.00000,"[M+H]+","[M-H]-","InChI=1S/p+1",,,,,,,,,,
"Hexadecanoyl-phosphate (n-C16:0)","C16H31O5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C16H33O5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)21-22(18,19)20/h2-15H2,1H3,(H2,18,19,20)/p-2",,,,,,,,,,
"Hexanoate (N-C6:0)","C6H11O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/p-1",,,,,,,,,,
"Hydrogen cyanide","CHN",0.00000,"[M+H]+","[M-H]-","InChI=1S/CHN/c1-2/h1H",,,,,,,,,,
"Hydrogen peroxide","H2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/H2O2/c1-2/h1-2H",,,,,,,,,,
"Isethionic acid","C2H6O4S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H6O4S/c3-1-2-7(4,5)6/h3H,1-2H2,(H,4,5,6)",,,,,,,,,,
"L-Prolinylglycine","C7H12N2O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H12N2O3/c10-6(11)4-9-7(12)5-2-1-3-8-5/h5,8H,1-4H2,(H,9,12)(H,10,11)",,,,,,,,,,
"L-Threonine O-3-phosphate","C4H10NO6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H10NO6P/c1-2(3(5)4(6)7)11-12(8,9)10/h2-3H,5H2,1H3,(H,6,7)(H2,8,9,10)/t2-,3+/m1/s1",,,,,,,,,,
