Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"PG(19:1(9Z)/16:0)","C41H79O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C41H79O10P/c1-3-5-7-9-11-13-15-17-18-19-21-23-25-27-29-31-33-41(45)51-39(37-50-52(46,47)49-35-38(43)34-42)36-48-40(44)32-30-28-26-24-22-20-16-14-12-10-8-6-4-2/h18-19,38-39,42-43H,3-17,20-37H2,1-2H3,(H,46,47)/b19-18-/t38-,39+/m0/s1",,,,,,,,,,
"PG(19:1(9Z)/16:1(9Z))","C41H77O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C41H77O10P/c1-3-5-7-9-11-13-15-17-18-19-21-23-25-27-29-31-33-41(45)51-39(37-50-52(46,47)49-35-38(43)34-42)36-48-40(44)32-30-28-26-24-22-20-16-14-12-10-8-6-4-2/h14,16,18-19,38-39,42-43H,3-13,15,17,20-37H2,1-2H3,(H,46,47)/b16-14-,19-18-/t38-,39+/m0",,,,,,,,,,
"PGP(19:iso/19:iso)","C44H88O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C44H88O13P2/c1-39(2)31-27-23-19-15-11-7-5-9-13-17-21-25-29-33-43(46)53-37-42(38-56-59(51,52)55-36-41(45)35-54-58(48,49)50)57-44(47)34-30-26-22-18-14-10-6-8-12-16-20-24-28-32-40(3)4/h39-42,45H,5-38H2,1-4H3,(H,51,52)(H2,48,49,50)/t41-,42+/m0/s1",,,,,,,,,,
"PGP(10:0(3-OH)/10:0(3-OH))","C26H52O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C26H52O15P2/c1-3-5-7-9-11-13-21(27)15-25(30)37-19-24(41-26(31)16-22(28)14-12-10-8-6-4-2)20-40-43(35,36)39-18-23(29)17-38-42(32,33)34/h21-24,27-29H,3-20H2,1-2H3,(H,35,36)(H2,32,33,34)/t21?,22?,23-,24-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/10:0)","C26H52O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C26H52O14P2/c1-3-5-7-9-10-12-14-16-25(29)40-24(20-36-26(30)17-22(27)15-13-11-8-6-4-2)21-39-42(34,35)38-19-23(28)18-37-41(31,32)33/h22-24,27-28H,3-21H2,1-2H3,(H,34,35)(H2,31,32,33)/t22?,23-,24-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/12:0(3-OH))","C28H56O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H56O15P2/c1-3-5-7-9-10-12-14-16-24(30)18-28(33)43-26(21-39-27(32)17-23(29)15-13-11-8-6-4-2)22-42-45(37,38)41-20-25(31)19-40-44(34,35)36/h23-26,29-31H,3-22H2,1-2H3,(H,37,38)(H2,34,35,36)/t23?,24?,25-,26-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/12:0)","C28H56O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H56O14P2/c1-3-5-7-9-10-11-12-14-16-18-27(31)42-26(22-38-28(32)19-24(29)17-15-13-8-6-4-2)23-41-44(36,37)40-21-25(30)20-39-43(33,34)35/h24-26,29-30H,3-23H2,1-2H3,(H,36,37)(H2,33,34,35)/t24?,25-,26-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/14:0(3-OH))","C30H60O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O15P2/c1-3-5-7-9-10-11-12-14-16-18-26(32)20-30(35)45-28(23-41-29(34)19-25(31)17-15-13-8-6-4-2)24-44-47(39,40)43-22-27(33)21-42-46(36,37)38/h25-28,31-33H,3-24H2,1-2H3,(H,39,40)(H2,36,37,38)/t25?,26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/14:0)","C30H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O14P2/c1-3-5-7-9-10-11-12-13-14-16-18-20-29(33)44-28(24-40-30(34)21-26(31)19-17-15-8-6-4-2)25-43-46(38,39)42-23-27(32)22-41-45(35,36)37/h26-28,31-32H,3-25H2,1-2H3,(H,38,39)(H2,35,36,37)/t26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/15:0)","C31H62O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H62O14P2/c1-3-5-7-9-10-11-12-13-14-15-17-19-21-30(34)45-29(25-41-31(35)22-27(32)20-18-16-8-6-4-2)26-44-47(39,40)43-24-28(33)23-42-46(36,37)38/h27-29,32-33H,3-26H2,1-2H3,(H,39,40)(H2,36,37,38)/t27?,28-,29-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/15:0cyclo)","C31H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H60O14P2/c1-3-5-7-9-13-17-27(32)20-31(35)41-23-29(24-44-47(39,40)43-22-28(33)21-42-46(36,37)38)45-30(34)18-14-11-8-10-12-16-26-19-25(26)15-6-4-2/h25-29,32-33H,3-24H2,1-2H3,(H,39,40)(H2,36,37,38)/t25?,26?,27?,28-,29-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/16:0)","C32H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O14P2/c1-3-5-7-9-10-11-12-13-14-15-16-18-20-22-31(35)46-30(26-42-32(36)23-28(33)21-19-17-8-6-4-2)27-45-48(40,41)44-25-29(34)24-43-47(37,38)39/h28-30,33-34H,3-27H2,1-2H3,(H,40,41)(H2,37,38,39)/t28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/16:1(9Z))","C32H62O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H62O14P2/c1-3-5-7-9-10-11-12-13-14-15-16-18-20-22-31(35)46-30(26-42-32(36)23-28(33)21-19-17-8-6-4-2)27-45-48(40,41)44-25-29(34)24-43-47(37,38)39/h11-12,28-30,33-34H,3-10,13-27H2,1-2H3,(H,40,41)(H2,37,38,39)/b12-11-/t28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/17:0cycw7c)","C33H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H64O14P2/c1-3-5-7-10-15-19-29(34)22-33(37)43-25-31(26-46-49(41,42)45-24-30(35)23-44-48(38,39)40)47-32(36)20-16-12-9-11-14-18-28-21-27(28)17-13-8-6-4-2/h27-31,34-35H,3-26H2,1-2H3,(H,41,42)(H2,38,39,40)/t27?,28?,29?,30-,31-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/18:1(9Z))","C34H66O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H66O14P2/c1-3-5-7-9-10-11-12-13-14-15-16-17-18-20-22-24-33(37)48-32(28-44-34(38)25-30(35)23-21-19-8-6-4-2)29-47-50(42,43)46-27-31(36)26-45-49(39,40)41/h13-14,30-32,35-36H,3-12,15-29H2,1-2H3,(H,42,43)(H2,39,40,41)/b14-13-/t30?,31-,32-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/19:0cycv8c)","C35H68O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H68O14P2/c1-3-5-7-12-17-21-31(36)24-35(39)45-27-33(28-48-51(43,44)47-26-32(37)25-46-50(40,41)42)49-34(38)22-18-14-11-9-10-13-16-20-30-23-29(30)19-15-8-6-4-2/h29-33,36-37H,3-28H2,1-2H3,(H,43,44)(H2,40,41,42)/t29?,30?,31?,32-,33-/m1/s1",,,,,,,,,,
"PGP(10:0(3-OH)/19:iso)","C35H70O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H70O14P2/c1-4-5-6-16-20-23-31(36)25-35(39)45-28-33(29-48-51(43,44)47-27-32(37)26-46-50(40,41)42)49-34(38)24-21-18-15-13-11-9-7-8-10-12-14-17-19-22-30(2)3/h30-33,36-37H,4-29H2,1-3H3,(H,43,44)(H2,40,41,42)/t31?,32-,33+/m0/s1",,,,,,,,,,
"PGP(10:0/10:0(3-OH))","C26H52O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C26H52O14P2/c1-3-5-7-9-10-12-14-16-25(29)36-20-24(40-26(30)17-22(27)15-13-11-8-6-4-2)21-39-42(34,35)38-19-23(28)18-37-41(31,32)33/h22-24,27-28H,3-21H2,1-2H3,(H,34,35)(H2,31,32,33)/t22?,23-,24-/m1/s1",,,,,,,,,,
"PGP(10:0/12:0(3-OH))","C28H56O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H56O14P2/c1-3-5-7-9-11-13-15-17-24(29)19-28(32)42-26(22-38-27(31)18-16-14-12-10-8-6-4-2)23-41-44(36,37)40-21-25(30)20-39-43(33,34)35/h24-26,29-30H,3-23H2,1-2H3,(H,36,37)(H2,33,34,35)/t24?,25-,26-/m1/s1",,,,,,,,,,
"PGP(10:0/14:0(3-OH))","C30H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O14P2/c1-3-5-7-9-11-12-14-15-17-19-26(31)21-30(34)44-28(24-40-29(33)20-18-16-13-10-8-6-4-2)25-43-46(38,39)42-23-27(32)22-41-45(35,36)37/h26-28,31-32H,3-25H2,1-2H3,(H,38,39)(H2,35,36,37)/t26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(10:0/19:iso)","C35H70O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H70O13P2/c1-4-5-6-7-15-19-22-25-34(37)44-29-33(30-47-50(42,43)46-28-32(36)27-45-49(39,40)41)48-35(38)26-23-20-17-14-12-10-8-9-11-13-16-18-21-24-31(2)3/h31-33,36H,4-30H2,1-3H3,(H,42,43)(H2,39,40,41)/t32-,33+/m0/s1",,,,,,,,,,
"PGP(12:0(3-OH)/10:0(3-OH))","C28H56O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H56O15P2/c1-3-5-7-9-10-12-14-15-23(29)17-27(32)39-21-26(43-28(33)18-24(30)16-13-11-8-6-4-2)22-42-45(37,38)41-20-25(31)19-40-44(34,35)36/h23-26,29-31H,3-22H2,1-2H3,(H,37,38)(H2,34,35,36)/t23?,24?,25-,26-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/10:0)","C28H56O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H56O14P2/c1-3-5-7-9-11-13-15-17-24(29)19-28(32)38-22-26(42-27(31)18-16-14-12-10-8-6-4-2)23-41-44(36,37)40-21-25(30)20-39-43(33,34)35/h24-26,29-30H,3-23H2,1-2H3,(H,36,37)(H2,33,34,35)/t24?,25-,26-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/12:0(3-OH))","C30H60O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O15P2/c1-3-5-7-9-11-13-15-17-25(31)19-29(34)41-23-28(24-44-47(39,40)43-22-27(33)21-42-46(36,37)38)45-30(35)20-26(32)18-16-14-12-10-8-6-4-2/h25-28,31-33H,3-24H2,1-2H3,(H,39,40)(H2,36,37,38)/t25?,26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/12:0)","C30H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O14P2/c1-3-5-7-9-11-12-14-16-18-20-29(33)44-28(25-43-46(38,39)42-23-27(32)22-41-45(35,36)37)24-40-30(34)21-26(31)19-17-15-13-10-8-6-4-2/h26-28,31-32H,3-25H2,1-2H3,(H,38,39)(H2,35,36,37)/t26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/14:0(3-OH))","C32H64O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O15P2/c1-3-5-7-9-11-12-14-16-18-20-28(34)22-32(37)47-30(26-46-49(41,42)45-24-29(35)23-44-48(38,39)40)25-43-31(36)21-27(33)19-17-15-13-10-8-6-4-2/h27-30,33-35H,3-26H2,1-2H3,(H,41,42)(H2,38,39,40)/t27?,28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/14:0)","C32H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O14P2/c1-3-5-7-9-11-12-13-14-16-18-20-22-31(35)46-30(27-45-48(40,41)44-25-29(34)24-43-47(37,38)39)26-42-32(36)23-28(33)21-19-17-15-10-8-6-4-2/h28-30,33-34H,3-27H2,1-2H3,(H,40,41)(H2,37,38,39)/t28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/15:0)","C33H66O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H66O14P2/c1-3-5-7-9-11-12-13-14-15-17-19-21-23-32(36)47-31(28-46-49(41,42)45-26-30(35)25-44-48(38,39)40)27-43-33(37)24-29(34)22-20-18-16-10-8-6-4-2/h29-31,34-35H,3-28H2,1-2H3,(H,41,42)(H2,38,39,40)/t29?,30-,31-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/15:0cyclo)","C33H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H64O14P2/c1-3-5-7-8-9-12-15-19-29(34)22-33(37)43-25-31(26-46-49(41,42)45-24-30(35)23-44-48(38,39)40)47-32(36)20-16-13-10-11-14-18-28-21-27(28)17-6-4-2/h27-31,34-35H,3-26H2,1-2H3,(H,41,42)(H2,38,39,40)/t27?,28?,29?,30-,31-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/16:0)","C34H68O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H68O14P2/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-33(37)48-32(29-47-50(42,43)46-27-31(36)26-45-49(39,40)41)28-44-34(38)25-30(35)23-21-19-17-10-8-6-4-2/h30-32,35-36H,3-29H2,1-2H3,(H,42,43)(H2,39,40,41)/t30?,31-,32-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/16:1(9Z))","C34H66O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H66O14P2/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-33(37)48-32(29-47-50(42,43)46-27-31(36)26-45-49(39,40)41)28-44-34(38)25-30(35)23-21-19-17-10-8-6-4-2/h12-13,30-32,35-36H,3-11,14-29H2,1-2H3,(H,42,43)(H2,39,40,41)/b13-12-/t30?,31-,32-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/17:0cycw7c)","C35H68O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H68O14P2/c1-3-5-7-9-10-13-17-21-31(36)24-35(39)45-27-33(28-48-51(43,44)47-26-32(37)25-46-50(40,41)42)49-34(38)22-18-14-11-12-16-20-30-23-29(30)19-15-8-6-4-2/h29-33,36-37H,3-28H2,1-2H3,(H,43,44)(H2,40,41,42)/t29?,30?,31?,32-,33-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/18:1(9Z))","C36H70O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C36H70O14P2/c1-3-5-7-9-11-12-13-14-15-16-17-18-20-22-24-26-35(39)50-34(31-49-52(44,45)48-29-33(38)28-47-51(41,42)43)30-46-36(40)27-32(37)25-23-21-19-10-8-6-4-2/h14-15,32-34,37-38H,3-13,16-31H2,1-2H3,(H,44,45)(H2,41,42,43)/b15-14-/t32?,33-,34-/m1/",,,,,,,,,,
"PGP(12:0(3-OH)/19:0cycv8c)","C37H72O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C37H72O14P2/c1-3-5-7-9-11-15-19-23-33(38)26-37(41)47-29-35(30-50-53(45,46)49-28-34(39)27-48-52(42,43)44)51-36(40)24-20-16-13-10-12-14-18-22-32-25-31(32)21-17-8-6-4-2/h31-35,38-39H,3-30H2,1-2H3,(H,45,46)(H2,42,43,44)/t31?,32?,33?,34-,35-/m1/s1",,,,,,,,,,
"PGP(12:0(3-OH)/19:iso)","C37H74O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C37H74O14P2/c1-4-5-6-7-15-19-22-25-33(38)27-37(41)47-30-35(31-50-53(45,46)49-29-34(39)28-48-52(42,43)44)51-36(40)26-23-20-17-14-12-10-8-9-11-13-16-18-21-24-32(2)3/h32-35,38-39H,4-31H2,1-3H3,(H,45,46)(H2,42,43,44)/t33?,34-,35+/m0/s1",,,,,,,,,,
"PGP(12:0/10:0(3-OH))","C28H56O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C28H56O14P2/c1-3-5-7-9-10-11-12-14-16-18-27(31)38-22-26(42-28(32)19-24(29)17-15-13-8-6-4-2)23-41-44(36,37)40-21-25(30)20-39-43(33,34)35/h24-26,29-30H,3-23H2,1-2H3,(H,36,37)(H2,33,34,35)/t24?,25-,26-/m1/s1",,,,,,,,,,
"PGP(12:0/12:0(3-OH))","C30H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O14P2/c1-3-5-7-9-11-12-14-16-18-20-29(33)40-24-28(25-43-46(38,39)42-23-27(32)22-41-45(35,36)37)44-30(34)21-26(31)19-17-15-13-10-8-6-4-2/h26-28,31-32H,3-25H2,1-2H3,(H,38,39)(H2,35,36,37)/t26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(12:0/14:0(3-OH))","C32H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O14P2/c1-3-5-7-9-11-13-15-17-19-21-28(33)23-32(36)46-30(26-42-31(35)22-20-18-16-14-12-10-8-6-4-2)27-45-48(40,41)44-25-29(34)24-43-47(37,38)39/h28-30,33-34H,3-27H2,1-2H3,(H,40,41)(H2,37,38,39)/t28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(12:0/19:iso)","C37H74O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C37H74O13P2/c1-4-5-6-7-8-14-18-21-24-27-36(39)46-31-35(32-49-52(44,45)48-30-34(38)29-47-51(41,42)43)50-37(40)28-25-22-19-16-13-11-9-10-12-15-17-20-23-26-33(2)3/h33-35,38H,4-32H2,1-3H3,(H,44,45)(H2,41,42,43)/t34-,35+/m0/s1",,,,,,,,,,
"PGP(14:0(3-OH)/10:0(3-OH))","C30H60O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O15P2/c1-3-5-7-9-10-11-12-14-16-17-25(31)19-29(34)41-23-28(45-30(35)20-26(32)18-15-13-8-6-4-2)24-44-47(39,40)43-22-27(33)21-42-46(36,37)38/h25-28,31-33H,3-24H2,1-2H3,(H,39,40)(H2,36,37,38)/t25?,26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/10:0)","C30H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O14P2/c1-3-5-7-9-11-12-14-15-17-19-26(31)21-30(34)40-24-28(44-29(33)20-18-16-13-10-8-6-4-2)25-43-46(38,39)42-23-27(32)22-41-45(35,36)37/h26-28,31-32H,3-25H2,1-2H3,(H,38,39)(H2,35,36,37)/t26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/12:0(3-OH))","C32H64O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O15P2/c1-3-5-7-9-11-12-14-16-17-19-27(33)21-31(36)43-25-30(26-46-49(41,42)45-24-29(35)23-44-48(38,39)40)47-32(37)22-28(34)20-18-15-13-10-8-6-4-2/h27-30,33-35H,3-26H2,1-2H3,(H,41,42)(H2,38,39,40)/t27?,28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/12:0)","C32H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O14P2/c1-3-5-7-9-11-13-15-17-19-21-28(33)23-32(36)42-26-30(46-31(35)22-20-18-16-14-12-10-8-6-4-2)27-45-48(40,41)44-25-29(34)24-43-47(37,38)39/h28-30,33-34H,3-27H2,1-2H3,(H,40,41)(H2,37,38,39)/t28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/14:0(3-OH))","C34H68O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H68O15P2/c1-3-5-7-9-11-13-15-17-19-21-29(35)23-33(38)45-27-32(28-48-51(43,44)47-26-31(37)25-46-50(40,41)42)49-34(39)24-30(36)22-20-18-16-14-12-10-8-6-4-2/h29-32,35-37H,3-28H2,1-2H3,(H,43,44)(H2,40,41,42)/t29?,30?,31-,32-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/14:0)","C34H68O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H68O14P2/c1-3-5-7-9-11-13-14-16-18-20-22-24-33(37)48-32(29-47-50(42,43)46-27-31(36)26-45-49(39,40)41)28-44-34(38)25-30(35)23-21-19-17-15-12-10-8-6-4-2/h30-32,35-36H,3-29H2,1-2H3,(H,42,43)(H2,39,40,41)/t30?,31-,32-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/15:0)","C35H70O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H70O14P2/c1-3-5-7-9-11-13-14-15-17-19-21-23-25-34(38)49-33(30-48-51(43,44)47-28-32(37)27-46-50(40,41)42)29-45-35(39)26-31(36)24-22-20-18-16-12-10-8-6-4-2/h31-33,36-37H,3-30H2,1-2H3,(H,43,44)(H2,40,41,42)/t31?,32-,33-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/15:0cyclo)","C35H68O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H68O14P2/c1-3-5-7-8-9-10-11-14-17-21-31(36)24-35(39)45-27-33(28-48-51(43,44)47-26-32(37)25-46-50(40,41)42)49-34(38)22-18-15-12-13-16-20-30-23-29(30)19-6-4-2/h29-33,36-37H,3-28H2,1-2H3,(H,43,44)(H2,40,41,42)/t29?,30?,31?,32-,33-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/16:0)","C36H72O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C36H72O14P2/c1-3-5-7-9-11-13-14-15-16-18-20-22-24-26-35(39)50-34(31-49-52(44,45)48-29-33(38)28-47-51(41,42)43)30-46-36(40)27-32(37)25-23-21-19-17-12-10-8-6-4-2/h32-34,37-38H,3-31H2,1-2H3,(H,44,45)(H2,41,42,43)/t32?,33-,34-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/16:1(9Z))","C36H70O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C36H70O14P2/c1-3-5-7-9-11-13-14-15-16-18-20-22-24-26-35(39)50-34(31-49-52(44,45)48-29-33(38)28-47-51(41,42)43)30-46-36(40)27-32(37)25-23-21-19-17-12-10-8-6-4-2/h13-14,32-34,37-38H,3-12,15-31H2,1-2H3,(H,44,45)(H2,41,42,43)/b14-13-/t32?,33-,34-/m1/",,,,,,,,,,
"PGP(14:0(3-OH)/17:0cycw7c)","C37H72O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C37H72O14P2/c1-3-5-7-9-10-11-12-15-19-23-33(38)26-37(41)47-29-35(30-50-53(45,46)49-28-34(39)27-48-52(42,43)44)51-36(40)24-20-16-13-14-18-22-32-25-31(32)21-17-8-6-4-2/h31-35,38-39H,3-30H2,1-2H3,(H,45,46)(H2,42,43,44)/t31?,32?,33?,34-,35-/m1/s1",,,,,,,,,,
"PGP(14:0(3-OH)/19:0cycv8c)","C39H76O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C39H76O14P2/c1-3-5-7-9-10-11-14-17-21-25-35(40)28-39(43)49-31-37(32-52-55(47,48)51-30-36(41)29-50-54(44,45)46)53-38(42)26-22-18-15-12-13-16-20-24-34-27-33(34)23-19-8-6-4-2/h33-37,40-41H,3-32H2,1-2H3,(H,47,48)(H2,44,45,46)/t33?,34?,35?,36-,37-/m1/",,,,,,,,,,
"PGP(14:0(3-OH)/19:iso)","C39H78O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C39H78O14P2/c1-4-5-6-7-8-14-18-21-24-27-35(40)29-39(43)49-32-37(33-52-55(47,48)51-31-36(41)30-50-54(44,45)46)53-38(42)28-25-22-19-16-13-11-9-10-12-15-17-20-23-26-34(2)3/h34-37,40-41H,4-33H2,1-3H3,(H,47,48)(H2,44,45,46)/t35?,36-,37+/m0/s1",,,,,,,,,,
"PGP(14:0/10:0(3-OH))","C30H60O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O14P2/c1-3-5-7-9-10-11-12-13-14-16-18-20-29(33)40-24-28(44-30(34)21-26(31)19-17-15-8-6-4-2)25-43-46(38,39)42-23-27(32)22-41-45(35,36)37/h26-28,31-32H,3-25H2,1-2H3,(H,38,39)(H2,35,36,37)/t26?,27-,28-/m1/s1",,,,,,,,,,
"PGP(14:0/12:0(3-OH))","C32H64O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C32H64O14P2/c1-3-5-7-9-11-12-13-14-16-18-20-22-31(35)42-26-30(27-45-48(40,41)44-25-29(34)24-43-47(37,38)39)46-32(36)23-28(33)21-19-17-15-10-8-6-4-2/h28-30,33-34H,3-27H2,1-2H3,(H,40,41)(H2,37,38,39)/t28?,29-,30-/m1/s1",,,,,,,,,,
"PGP(14:0/14:0(3-OH))","C34H68O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H68O14P2/c1-3-5-7-9-11-13-14-16-18-20-22-24-33(37)44-28-32(29-47-50(42,43)46-27-31(36)26-45-49(39,40)41)48-34(38)25-30(35)23-21-19-17-15-12-10-8-6-4-2/h30-32,35-36H,3-29H2,1-2H3,(H,42,43)(H2,39,40,41)/t30?,31-,32-/m1/s1",,,,,,,,,,
"PGP(14:0/15:0cyclo)","C35H68O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H68O13P2/c1-3-5-7-8-9-10-11-12-13-16-19-23-34(37)44-28-33(29-47-50(42,43)46-27-32(36)26-45-49(39,40)41)48-35(38)24-20-17-14-15-18-22-31-25-30(31)21-6-4-2/h30-33,36H,3-29H2,1-2H3,(H,42,43)(H2,39,40,41)/t30?,31?,32-,33-/m1/s1",,,,,,,,,,
"PGP(15:0/10:0(3-OH))","C31H62O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C31H62O14P2/c1-3-5-7-9-10-11-12-13-14-15-17-19-21-30(34)41-25-29(45-31(35)22-27(32)20-18-16-8-6-4-2)26-44-47(39,40)43-24-28(33)23-42-46(36,37)38/h27-29,32-33H,3-26H2,1-2H3,(H,39,40)(H2,36,37,38)/t27?,28-,29-/m1/s1",,,,,,,,,,
"PGP(15:0/12:0(3-OH))","C33H66O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C33H66O14P2/c1-3-5-7-9-11-12-13-14-15-17-19-21-23-32(36)43-27-31(28-46-49(41,42)45-26-30(35)25-44-48(38,39)40)47-33(37)24-29(34)22-20-18-16-10-8-6-4-2/h29-31,34-35H,3-28H2,1-2H3,(H,41,42)(H2,38,39,40)/t29?,30-,31-/m1/s1",,,,,,,,,,
"PGP(15:0/17:0cycw7c)","C38H74O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H74O13P2/c1-3-5-7-9-10-11-12-13-14-15-18-22-26-37(40)47-31-36(32-50-53(45,46)49-30-35(39)29-48-52(42,43)44)51-38(41)27-23-19-16-17-21-25-34-28-33(34)24-20-8-6-4-2/h33-36,39H,3-32H2,1-2H3,(H,45,46)(H2,42,43,44)/t33?,34?,35-,36-/m1/s1",,,,,,,,,,
