mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,AR351_A,AR351_B,AR351_C,Cipro_A,Cipro_B,Cipro_C,Coumermycin_A,Coumermycin_B,Coumermycin_C,CN-DM-861_A,CN-DM-861_B,CN-DM-861_C,Levo_A,Levo_B,Levo_C,Lome_A,Lome_B,Lome_C,Novo_A,Novo_B,Novo_C,untreated_A,untreated_B,untreated_C,isotopes,iso_anno,adduct,pcgroup
374.734574,374.7342449,374.7347613,70.324646,70.01696014,71.03764343,22,4747.143653,5704.980005,6323.16959,4310.007241,4025.481346,3788.16411,2804.337128,2988.544613,2556.957294,2513.693292,2622.840527,3101.321331,2926.80156,3980.347354,4266.700552,3270.761692,2707.054179,4766.195414,2040.84633,2388.367683,1359.358889,2111.933933,2918.437869,4229.007495,,0,,91
378.8997855,378.8994536,378.8999392,67.28005981,67.00360107,67.72562408,15,1496.721113,1449.203223,1233.64936,1830.040366,1880.845795,2513.865834,2096.691027,2051.686197,2089.851859,4325.303479,2178.617433,1480.197107,4317.935005,2136.685578,2854.730864,3485.611653,5564.694474,2631.805338,3816.255755,4142.830614,4909.812236,4836.414685,3813.453768,1910.65904,,0,[M+2K]2+ 679.872,19
379.2813937,379.2811319,379.2816263,1149.952637,1149.591553,1150.219604,13,26023.1354,17673.22322,24509.11058,3234.82169,3145.562315,3081.235809,2908.491519,5102.299173,6917.226098,16280.80217,12197.39436,13296.89216,7167.216185,10470.55629,7279.327379,3680.525476,6540.902141,7908.7429,7308.191705,6248.749391,7422.676942,17576.12685,17187.4698,15439.53263,[97][M]+,0,,119
380.2848709,380.2848259,380.2849159,1150.074524,1149.936646,1150.212402,2,5460.200287,3278.209633,5410.895484,78.40092418,83.39828178,45.09509841,53.75219972,93.80431386,491.5362904,3419.367182,2150.258255,1616.114135,767.4626513,1033.673901,990.1739395,67.1013931,398.5859318,693.8777152,892.7637107,254.2128734,503.8185849,2827.200387,3106.318156,2472.31408,[97][M+1]+,1,,119
381.1941423,381.1939711,381.194547,947.0757808,946.6298218,947.8015747,16,6986.522936,7408.883773,6938.871051,6115.440288,7571.679919,8228.936553,8060.872055,7535.439867,6624.911666,6039.245913,6406.474051,6532.650595,7069.365067,7195.733389,7211.105748,7042.005777,7032.216949,6890.380171,6781.368163,8816.837879,7715.915025,7300.570227,7046.885317,5519.166565,,0,,254
381.5556599,381.5555769,381.5558726,394.0114441,391.1795654,395.5476685,7,4747.454726,4211.788593,4645.456246,3162.243479,8185.313479,2761.409825,1010.266721,2492.818707,912.2776212,688.3153682,5842.532668,9073.381616,941.0088543,6044.250296,6646.509443,3929.839302,408.7092615,7108.272803,2652.914927,2508.653794,3108.104658,1141.437287,1126.889631,2805.677645,,0,,205
385.1778649,385.177702,385.1779994,1043.68219,1042.92041,1044.442017,8,7133.918222,10757.24244,5372.640269,25050.85882,14261.31713,11962.71545,19668.31443,12995.09462,21886.00041,25259.9184,17931.10678,9027.552234,21178.06759,29229.82586,32384.13279,18465.77873,42585.23053,32755.9927,8511.863016,14806.12411,30192.70319,4610.845516,7147.526265,9197.534366,,0,,373
387.3099277,387.3097092,387.3101521,1038.788147,1038.275269,1039.296387,22,10405.55538,10805.55775,9612.54318,10107.85369,11237.05018,9805.739338,5863.733765,5384.477956,5329.369562,12659.13707,12453.03608,13031.8358,11335.42346,9994.868352,8675.727305,9823.472834,12644.41167,8111.813588,5998.169295,7005.800041,5235.887035,18753.264,20187.58966,18789.22952,,0,,270
387.3100689,387.3099616,387.3102651,1087.351563,1087.03833,1087.879395,24,17539.8791,17211.35594,17040.40934,16508.7771,18501.7853,16664.90234,11727.14352,10052.63422,9984.528227,22037.68944,22938.40787,21747.18735,16796.65048,15120.01619,15702.20691,15996.87252,19762.26197,14155.01575,8975.149577,8666.495304,7055.912834,25754.01155,26788.74003,25851.83504,[99][M]+,0,,62
388.3134226,388.313209,388.3136814,1087.34668,1087.104492,1087.3573,5,3943.04725,3372.21567,3344.206048,3014.594179,3998.690226,3197.567031,1983.312204,1491.480227,1646.7012,4469.12474,4615.277013,4293.244233,3027.573,2979.246425,2936.79199,2714.212669,3633.784342,2632.493753,1117.555544,1539.90477,401.0670621,5325.243075,4941.939683,5368.531949,[99][M+1]+,1,,62
