row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Si11_35840.mzXML Peak area,Si11_35844.mzXML Peak area,Si11_35845.mzXML Peak area,Si11_35843.mzXML Peak area,Si11_35842.mzXML Peak area,Si11_35839.mzXML Peak area,Si11_35841.mzXML Peak area
312,425.287184954776,19.216175,,,,41,,,,,,,74.165375,81.27067,71.16674,78.95769,81.09895,80.7409,83.96519
313,256.26361308128,19.223764,,,,41,,,,,,,443.89816,501.2795,441.596,449.69745,437.52008,413.8896,430.44208
314,354.318690274674,19.26021,,,,,,,,,,,37.162086,27.973167,536.11115,32.809357,115.96669,37.344666,178.99712
315,633.454371832577,19.264675,,,,,,,,,,,105.86331,114.33567,145.19153,98.93772,88.83376,60.398853,125.17227
316,589.428377639857,19.281252,,,,,,,,,,,260.35797,128.00058,142.77856,151.82082,144.42009,142.84828,248.86865
317,501.37592873144,19.309961,,,,,,,,,,,352.54898,151.32787,31.663475,166.43742,343.91467,343.474,174.87527
318,545.402237647467,19.305502,,,,,,,,,,,111.58301,150.02791,334.778,323.49545,145.03389,104.47178,101.002846
319,353.266328447399,19.307018,,,,,,,,,,,60.46321,64.39663,48.536972,61.43235,68.909996,55.18209,52.741066
320,457.349984257129,19.328096,,,,30,,,,,,,266.2632,537.1472,211.41228,527.8956,507.236,454.5071,511.76138
321,369.297666163417,19.344814,,,,30,,,,,,,344.772,374.83197,253.61685,328.70517,342.55078,302.5594,294.64908
322,413.323864863554,19.346209,,,,30,,,,,,,349.90015,330.23376,318.86206,349.90036,308.16803,322.21252,373.86575
323,325.271429747458,19.352402,,,,,,,,,,,221.39243,227.3594,155.34064,299.39972,220.55742,270.73547,163.21924
325,589.428182000035,19.43254,,,,,,,,,,,107.25638,145.88089,154.3778,286.53644,123.56388,55.34774,126.70311
326,545.402259603629,19.452005,,,,,,,,,,,280.67377,123.851395,147.83725,132.11292,137.28093,158.93277,161.57149
327,501.376017170461,19.468431,,,,,,,,,,,152.94261,371.4926,383.13586,398.02133,199.95178,91.58241,145.63358
328,304.261175798084,19.476034,,,,44,44,[M+Na]+,,2,329;328,281.27197,467.60913,509.82764,521.58765,548.29407,572.33057,450.88736,494.12357
329,282.27926588821,19.479061,,,,44,44,[M+H]+,,2,329;328,281.27197,1418.9478,1514.5562,1476.4675,1512.646,1515.2622,1304.149,1399.0518
330,144.982244665618,19.520046,,,,,,,,,,,100.416374,795.1663,70.02933,62.696526,182.79709,61.75545,166.09064
331,369.297535038803,19.501583,,,,,,,,,,,243.81496,216.2009,311.70294,255.72473,231.10909,216.68788,215.26076
332,282.221711287304,19.642088,,,,,,,,,,,996.2906,1151.2527,1131.6501,1135.9292,1164.0466,921.7584,1069.7202
333,217.104909230491,19.678114,,,,,,,,,,,50.201183,95.68905,58.79116,33.95847,1077.8757,64.90204,73.00703
334,589.428060497623,19.688585,,,,,,,,,,,26.331362,88.22767,77.21632,69.06805,59.748466,62.233147,62.742447
335,545.402127659948,19.702173,,,,,,,,,,,122.20511,144.82639,127.873856,129.5519,111.999374,105.279854,138.58107
336,537.149463107593,19.724909,,,,14,49,[M+H]+,,3,345;350;351,536.14199,48.437115,11.982573,25.4348,27.871021,31.6132,45.50825,38.93988
338,556.174265331788,19.724766,,,,14,47,[M+NH4]+,,3,338;349;348,538.14042,69.95997,35.308903,22.13662,41.06252,43.656963,77.775734,54.256126
339,501.376095895709,19.720276,,,,14,,,,,,,189.9323,252.64969,206.09152,257.52576,194.23671,173.53519,208.27454
340,578.103779632876,19.724844,,,,14,45,[M+K]+,,2,340;343,539.1406,64.985954,56.807972,48.21866,61.575485,57.334095,71.03135,58.359104
341,555.176482298768,19.72635,,,,14,46,[M+NH4]+,,3,341;347;346,537.14269,99.13646,58.574593,45.831978,61.69938,67.593796,122.9242,75.74237
342,371.101423706982,19.723349,,,,14,,,,,,,190.77965,127.57464,122.67283,134.8064,149.90335,215.10126,154.8935
343,562.129800819224,19.723375,,,,14,45,[M+Na]+,,2,340;343,539.1406,167.32433,136.0277,123.52282,132.11168,138.84909,173.60011,146.03596
