mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,PA14_Si11_10uM,PA14_Si11_4uM,PA14_Si11_8uM,ms_level,X1,X2,X3,X4,X5,X6,X7,X8,X9,isotopes,adduct,pcgroup
120.0717838,120.0716099,120.0718949,537.1453857,536.5419312,537.2717896,6,3,0,3,1,10374.71264,9406.1968,10132.90509,4791.4046,4847.064169,4641.560402,9134.908258,9901.409697,9923.517793,[4][M+2]+,,1
121.0840962,121.0839422,121.0842409,220.867218,220.6079865,221.1300354,8,3,2,3,1,38760.55071,36874.96933,37206.20454,30715.44867,37993.15585,38110.79615,37511.86425,39069.07793,37723.25913,[6][M+1]+,,40
122.096451,122.0964282,122.0968692,1640.999084,1640.961304,1641.262695,8,3,3,2,1,78090.46424,78990.56,84778.0554,87064.56353,91678.53489,86111.34158,76897.48238,59524.27797,87582.60763,,,306
122.9244281,122.9243072,122.9247211,66.10151672,66.03890228,66.33883667,9,3,3,3,1,21944.202,21455.24713,22183.5975,21626.21159,23731.06171,23658.0608,23321.93744,22822.68629,23339.68267,,[M+H]+ 121.917,83
122.9639896,122.9639083,122.9640269,1698.847046,1696.477905,1699.539063,5,3,1,1,1,3702.834,27021.15762,22478.7125,19403.16195,25666.9579,33200.46708,26940.49701,17528.69856,23411.024,,,251
122.9639664,122.9638072,122.9640419,1715.923401,1709.462158,1719.887451,8,3,2,1,1,16956.60492,10795.8391,7451.1,6721.530947,13530.65684,1342.5425,14998.58463,12964.79017,17203.5424,,,137
123.0279009,122.963916,123.0919651,1645.573425,1645.297485,1646.835,16,3,3,3,1,103006.1178,158249.9728,104598.0773,419725.1053,105603.0814,111199.1112,110507.5741,109738.6662,172449.236,,,47
123.0551796,123.055096,123.055369,112.8032379,112.3432922,113.1376877,9,3,3,3,1,82710.21845,109661.2248,74327.03517,76752.88829,85127.1512,81871.21393,72994.07354,74343.3932,76644.97718,,,114
123.0551685,123.055156,123.05534,85.66924286,85.43499756,85.93900299,5,0,2,3,1,37099.46839,37810.36222,37611.00564,50868.9959,40735.1096,45241.11415,42349.53867,43409.60843,43411.10707,,[M+3H-C6H10O4]3+ 512.2,31
124.0392356,124.0390139,124.0394326,85.44322205,85.41622925,85.70391846,9,3,3,3,1,18854.807,18749.87573,19174.72028,17169.48768,16909.51034,17961.56686,19259.89289,18505.802,18640.41396,,[M+H]+ 123.026,31
124.0869647,124.0868574,124.0873924,1640.961121,1640.704346,1641.262695,8,3,2,3,1,150425.3443,148732.8783,150885.8777,162905.8835,157374.0875,159741.6168,144284.3183,199059.7806,162240.3123,,,307
125.9862029,125.9860253,125.9863728,62.26939392,61.94667816,62.53038406,9,3,3,3,1,27478.58145,26830.08571,25973.22545,16673.89124,17674.79663,17536.8123,18508.27832,24040.73759,21084.78667,,[M+K]+ 87.0213,96
127.0389174,127.0388263,127.039152,559.4281311,559.4175415,559.6737671,8,3,2,3,1,19007.3832,19790.541,19242.15524,11998.86477,10728.60493,12149.84205,19518.14872,19853.19198,19684.73426,,[M+H-COCH2]+ 168.042,15
128.0192141,128.0191129,128.0193632,62.27392447,62.20095444,62.53038406,8,3,3,2,1,6370.996,6475.402727,6743.7916,6346.494,6148.877941,7124.445,6087.766333,6059.836235,5503.225579,,,96
128.0620103,128.0618947,128.0621272,680.2377319,679.9905396,681.4788208,9,3,3,3,1,20862.59945,20541.20108,20991.83634,10613.45646,11231.16706,11258.08413,25944.71648,26044.0524,26411.58397,,[M+H+Na]2+ 232.126,2
128.0495317,128.0493193,128.0496503,623.8865356,623.7548828,624.3828735,6,3,0,3,1,13365.22052,12918.46664,13677.93141,5083.228652,5924.919411,7345.224772,15324.9554,13755.85624,14592.52503,,[M+Na]+ 105.057,3
128.1071304,128.1070198,128.1074894,1640.843506,1640.717,1641.262695,6,3,1,2,1,109055.085,108495.3712,109062.1461,113903.7149,108755.3494,111915.5545,95493.01219,80029.72861,114418.2104,,,308
129.0130323,129.0127901,129.0130771,85.92121124,85.69036865,85.96118927,5,3,0,2,1,10138.09397,9985.741379,10558.15411,2730.719149,2583.611527,3182.627248,7990.22525,7530.925714,7712.710289,,[3M+H+Na]2+ 78.0131 [M+H-C2H4]+ 156.029,31
129.0697375,129.0696441,129.0699542,680.2237549,679.7420654,681.4788208,9,3,3,3,1,44816.52139,44117.2166,45505.60663,23194.70606,22532.45194,22924.55089,50125.95927,51010.56643,51763.74937,,,2
130.007953,130.0078702,130.0080644,1657.295166,1656.503174,1657.866699,7,3,2,2,1,230520.083,246927.8659,236717.6931,236814.622,225291.9575,240407.1071,249313.7655,213696.8931,247500.597,,,332
130.0652164,130.0649837,130.065344,623.8832397,623.7481689,624.14,9,3,3,3,1,3310603.566,3281652.281,3301137.008,1869637.699,1745859.483,1908211.51,3472823.367,3519266,3490991.234,[7][M]+,[M+H-CO]+ 157.053,3
130.0498421,130.0497549,130.0500091,71.42852783,71.38818359,71.68000031,9,3,3,3,1,73591.32726,71338.90436,73455.53732,72015.72979,72525.26554,74827.47568,73604.63463,74328.1875,74274.75842,,,54
130.0651416,130.0650032,130.0652619,636.3815308,636.0261841,636.4160767,8,3,2,3,1,303548.2089,300208.2452,298186.6384,155808.1593,112499.7355,158716.1864,290677.1123,291885.4948,298574.4914,,,59
130.064991,130.0649445,130.0651176,900.2797852,900.275,900.8005371,6,0,3,3,1,7960.898267,7724.975776,9051.619885,14622.48118,15030.50117,15005.96914,14522.2515,15479.58732,14930.38094,,,4
130.1590242,130.1590097,130.1590362,4.709690571,4.699364662,4.739012241,3,3,0,0,1,11895.64942,12265.44731,13047.8656,NA,NA,NA,NA,NA,NA,,,20
131.0685635,131.0683635,131.0687009,623.8832397,623.7481689,624.14,9,3,3,3,1,336716.0696,334495.0527,336485.9006,189387.4203,177900.9648,192381.4629,352866.1381,357401.7293,356863.7788,[7][M+1]+,,3
132.0035599,132.003481,132.0036346,1657.011963,1656.245483,1657.793,5,1,3,1,1,137505.5003,139611.9999,134523.9259,108456.1836,140985.2903,144840.7724,124523.9937,121307.7812,47439.99884,,,217
131.9617375,131.9616842,131.9621489,1640.704346,1636.356201,1641.262695,7,3,2,2,1,239954.9158,288912.5529,320651.1123,294076.4387,123982.9867,94413.25662,77202.47256,162793.5019,219241.4831,,,310
132.1018937,132.1017743,132.102057,124.4103546,121.8384171,125.9367065,8,3,2,3,1,200844.4431,197451.9142,200252.5333,101259.4203,158073.4118,97185.26013,97022.12962,202810.4775,107268.449,,[M+H+NH3]+ 114.074,70
132.0717809,132.0715859,132.071877,623.8828125,623.7481689,624.3828735,6,3,0,3,1,14173.0344,13741.54714,15374.02142,7773.537755,6478.395501,7151.064204,15992.99,13871.69859,15614.90013,[7][M+2]+,,3
133.0316353,133.0314742,133.0319299,85.43925476,85.17958832,85.66501617,9,3,3,3,1,7739.593348,7316.152667,7573.488,7387.96887,6409.984118,6512.336,6949.886,7296.7008,7540.952381,,[M+Na]+ 110.042 [M+H]+ 132.024,31
134.0269442,134.0268494,134.0271157,76.40786743,76.26447296,76.52705383,9,3,3,3,1,17803.3856,17667.59911,17765.9437,17901.32615,17417.82215,17449.117,16387.3673,17864.25712,17781.81407,,,195
