"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT0320",182.0813,125.8,NA,"[M+NH4]+ 164.0473",NA,"","[25][M]+","group23","corgroup62","+",""
"FT0925",182.5285,795,NA,NA,NA,"","",NA,"corgroup152","",""
"FT0981",183.0679,870,NA,NA,"FT0975-CH3","","","group112","corgroup135","+",""
"FT0322",183.0845,125.9,NA,NA,NA,"","[25][M+1]+","group23","corgroup19","",""
"FT0974",184.0756,870,NA,NA,NA,"","","group111","corgroup135","+",""
"FT1034",184.0756,900.3,NA,NA,NA,"","",NA,"corgroup112","",""
"FT1255",184.0757,1008.3,NA,NA,NA,"","",NA,"corgroup45","",""
"FT0969",185.0818,870,NA,NA,NA,"","","group111","corgroup135","+",""
"FT1035",185.0827,900.3,NA,NA,NA,"","","group123","corgroup112","+",""
"FT0817",185.0962,750.5,NA,NA,"FT0800-COOH; FT0819-HCOOH(H2+CO2 or H2O+CO)","Precursor; FT0799_MS2 match; FT0809_MS2 match; FT0817_MS2 match; FT0819_MS2 match; FT0821_MS2 match; FT0825_MS2 match; FT0830_MS2 match; FT0838_MS2 match; FT0842_MS2 match; FT0848_MS2 match; FT0851_MS2 match; FT0854_MS2 match; FT0858_MS2 match; FT0860_MS2 match; FT0868_MS2 match","[26][M]+","group79","corgroup127","+",""
"FT0534",185.1148,533.9,NA,NA,NA,"","",NA,"corgroup195","",""
"FT1036",186.0908,900.3,NA,NA,NA,"","","group123","corgroup112","+",""
"FT0903",186.0913,794,NA,NA,NA,"","",NA,"corgroup92","",""
"FT0818",186.0996,750.5,NA,NA,NA,"FT0817_MS2 match; FT0819_MS2 match; FT0821_MS2 match; FT0825_MS2 match; FT0830_MS2 match; FT0838_MS2 match; FT0848_MS2 match; FT0851_MS2 match; FT0854_MS2 match","[26][M+1]+","group79","corgroup127","+",""
"FT0718",186.1308,675.7,NA,NA,NA,"","",NA,NA,"",""
"FT0377",187.0366,491.1,"p-Coumaric Acid [M+Na]+","[M+Na]+ 164.0473",NA,"FT0386_MS2 match","[27][M]+","group37","corgroup125","+",""
"FT0834",187.1026,750.5,NA,NA,NA,"FT0819_MS2 match; FT0825_MS2 match","[26][M+2]+","group79","corgroup127","+",""
"FT0378",188.0399,491.1,NA,NA,NA,"","[27][M+1]+","group37","corgroup125","+",""
"FT0350",188.0705,366.1,NA,NA,"FT0351-NH3","","","group31","corgroup105","+",""
"FT0724",189.0699,680.2,NA,NA,"FT0726-C3H6; FT0743-CH3","FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT1071",189.0911,916.1,NA,NA,NA,"Precursor; FT1071_MS2 match; FT1081_MS2 match; FT1082_MS2 match","","group131","corgroup132","+",""
"FT1261",189.1486,1009,NA,NA,NA,"","","group176","corgroup96","+",""
"FT0200",190.9118,66.1,NA,NA,"FT0176-C3H9O6P","","","group5","corgroup106","+",""
"FT0454",191.0097,507.4,NA,"[M+K]+ 152.0473",NA,"","","group38","corgroup119","+",""
"FT0253",191.0483,83.7,NA,NA,NA,"","",NA,"corgroup46","",""
"FT0739",191.0856,680.2,NA,NA,"FT0748-C3H6","FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0216",192.0243,69.9,NA,NA,NA,"","",NA,"corgroup7","",""
"FT0740",192.0908,680.2,NA,NA,NA,"FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0741",193.1006,680.2,NA,NA,NA,"FT0751_MS2 match","","group69","corgroup172","+",""
"FT0495",195.0653,516.5,"Trans-Ferulic Acid [M+H]+","[M+H]+ 194.0579",NA,"Precursor; FT0495_MS2 match; FT0516_MS2 match; FT0519_MS2 match; FT0528_MS2 match","[28][M]+","group43","corgroup146","+",""
"FT0366",195.0877,438.1,NA,NA,NA,"","[29][M]+","group35","corgroup181","+",""
"FT0339",195.1226,337.8,NA,NA,NA,"","",NA,"corgroup177","",""
"FT0491",196.0687,516.4,NA,NA,NA,"FT0528_MS2 match","[28][M+1]+","group43","corgroup146","+",""
"FT0367",196.0907,438.1,NA,NA,NA,"","[29][M+1]+","group35","corgroup181","+",""
"FT0232",196.0949,72.7,NA,NA,NA,"","",NA,NA,"",""
"FT0213",196.8778,67.8,NA,NA,NA,"","",NA,"corgroup107","",""
"FT0455",197.0186,507.4,NA,NA,NA,"","","group38","corgroup119","+",""
"FT0496",197.0706,516.5,NA,NA,NA,"","[28][M+2]+","group43","corgroup146","+",""
"FT0711",197.071,662.1,NA,NA,NA,"","",NA,NA,"",""
"FT0975",198.0914,870,NA,NA,"FT0983-C3H6","","[30][M]+","group112","corgroup135","+",""
"FT0980",199.0961,870,NA,NA,NA,"","[30][M+1]+","group112","corgroup135","+",""
"FT1104",200.2009,930.9,NA,NA,NA,"Precursor; FT1104_MS2 match","","group135",NA,"",""
